Date;Location ISO Code;Location;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;Location Level;Province;Country;Continent;Island;Time Zone;Special Status;Total Regencies;Total Cities;Total Districts;Total Urban Villages;Total Rural Villages;Area (km2);Population;Population Density;Longitude;Latitude;New Cases per Million;Total Cases per Million;New Deaths per Million;Total Deaths per Million;Total Deaths per 100rb;Case Fatality Rate;Case Recovered Rate;Growth Factor of New Cases;Growth Factor of New Deaths
01/06/2021;ID-AC;Aceh;29;0;14;15;8805;360;7198;1247;Province;Aceh;Indonesia;Asia;Sumatera;UTC+07:00;Daerah Khusus;18;5;289;;6497;57956;5247257;90.54;9.691.052.174;4.225.614.628;5.53;1678.02;0.00;68.61;6.86;4.09%;81.75%;3.63;0.00
01/06/2021;ID-BA;Bali;191;11;170;10;18454;542;16842;1070;Province;Bali;Indonesia;Asia;Nusa Tenggara;UTC+08:00;;8;1;57;80;636;5780;4216171;729.43;1.151.317.136;-8.369.471.688;45.30;4376.96;2.61;128.55;12.86;2.94%;91.26%;1.14;11.00
01/06/2021;ID-BT;Banten;189;5;131;53;19334;565;16934;1835;Province;Banten;Indonesia;Asia;Jawa;UTC+07:00;;4;4;155;313;1238;9663;10722374;1109.64;1.061.090.043;-6.456.736.388;17.63;1803.15;0.47;52.69;5.27;2.92%;87.59%;1.15;0.63
01/06/2021;ID-BE;Bengkulu;42;2;70;-30;3821;121;3040;660;Province;Bengkulu;Indonesia;Asia;Sumatera;UTC+07:00;;9;1;129;172;1341;19919;1999539;100.38;1.023.384.213;-3.533.583.627;21.00;1910.94;1.00;60.51;6.05;3.17%;79.56%;2.10;
01/06/2021;ID-JK;DKI Jakarta;2402;17;1095;1290;195300;3383;175315;16602;Province;DKI Jakarta;Indonesia;Asia;Jawa;UTC+07:00;Daerah Khusus Ibu Kota;1;5;44;267;;664;10846145;16334.31;1.068.361.183;-6.204.698.991;221.46;18006.40;1.57;311.91;31.19;1.73%;89.77%;1.32;0.89
01/06/2021;ID-YO;Daerah Istimewa Yogyakarta;272;4;290;-22;13612;297;9196;4119;Province;Daerah Istimewa Yogyakarta;Indonesia;Asia;Jawa;UTC+07:00;Daerah Istimewa;4;1;78;46;392;3133;3631015;1158.90;1.104.448.783;-789.450.185;74.91;3748.81;1.10;81.80;8.18;2.18%;67.56%;0.92;1.33
01/06/2021;ID-GO;Gorontalo;0;0;22;-22;3887;104;3459;324;Province;Gorontalo;Indonesia;Asia;Sulawesi;UTC+08:00;;5;1;77;72;657;11257;1180651;104.88;1.223.760.581;0.687002604;0.00;3292.25;0.00;88.09;8.81;2.68%;88.99%;0.00;1.00
01/06/2021;ID-JA;Jambi;41;0;29;12;3397;58;2473;866;Province;Jambi;Indonesia;Asia;Sumatera;UTC+07:00;;9;2;141;163;1399;50058;3493357;69.79;1.027.236.404;-169.769.766;11.74;972.42;0.00;16.60;1.66;1.71%;72.80%;2.05;1.00
01/06/2021;ID-JB;Jawa Barat;1255;19;1594;-358;97404;1514;81594;14296;Province;Jawa Barat;Indonesia;Asia;Jawa;UTC+07:00;;18;9;627;645;5312;35378;45161325;1276.55;1.076.037.083;-6.920.432.083;27.79;2156.80;0.42;33.52;3.35;1.55%;83.77%;1.04;1.58
01/06/2021;ID-JT;Jawa Tengah;1023;47;1025;-49;88401;3871;61438;23092;Province;Jawa Tengah;Indonesia;Asia;Jawa;UTC+07:00;;29;6;576;753;7809;32801;36364072;1108.64;1.102.011.149;-7.259.097.177;28.13;2431.00;1.29;106.45;10.65;4.38%;69.50%;1.03;2.14
01/06/2021;ID-JI;Jawa Timur;803;51;905;-153;88754;6743;78934;3077;Province;Jawa Timur;Indonesia;Asia;Jawa;UTC+07:00;;29;9;666;777;7724;47803;40479023;846.78;1.127.329.414;-7.723.345.579;19.84;2192.59;1.26;166.58;16.66;7.60%;88.94%;1.19;0.84
01/06/2021;ID-KB;Kalimantan Barat;24;0;38;-14;3213;28;2918;267;Province;Kalimantan Barat;Indonesia;Asia;Kalimantan;UTC+07:00;;12;2;174;99;2031;147307;5422814;36.81;1.111.211.776;-0.086474572;4.43;592.50;0.00;5.16;0.52;0.87%;90.82%;0.83;0.00
01/06/2021;ID-KS;Kalimantan Selatan;88;2;59;27;15679;592;14173;914;Province;Kalimantan Selatan;Indonesia;Asia;Kalimantan;UTC+08:00;;11;2;153;144;1864;38744;4023049;103.84;1.154.385.783;-2.993.594.979;21.87;3897.29;0.50;147.15;14.72;3.78%;90.39%;1.09;2.00
01/06/2021;ID-KT;Kalimantan Tengah;66;0;203;-137;10108;200;7407;2501;Province;Kalimantan Tengah;Indonesia;Asia;Kalimantan;UTC+07:00;;13;1;136;139;1432;153565;2570289;16.74;1.134.176.536;-1.602.484.653;25.68;3932.63;0.00;77.81;7.78;1.98%;73.28%;1.10;1.00
